year,age,educ,degree,sex,race,partyid,othlang,letin1a,coninc,vstrat,vpsu,wtssnrps,prez,age_c,decrease_imm
2010,68,16,3,2,1,1,2,,96348,2272,2,0.383695412,1,60,
2010,22,16,3,2,1,0,1,2,,2272,2,0.992416267,1,18,0
2010,58,17,3,1,1,2,1,,44159.5,2273,1,0.8112235,1,50,
2010,55,20,4,1,1,2,2,3,26094.25,2273,1,0.531929234,1,50,0
2010,75,16,3,1,3,2,1,3,54195.75,2273,1,1.387579129,1,70,0
2010,66,14,1,1,1,7,2,3,152908.1861,2273,1,0.74928203,1,60,0
2010,76,12,1,2,1,2,2,,66239.25,2273,1,1.602834003,1,70,
2010,79,12,1,1,1,5,1,3,36130.5,2273,2,0.743811705,1,70,0
2010,29,17,3,2,1,1,2,3,80290,2273,2,0.454230448,1,18,0
2010,60,16,3,2,1,0,2,,66239.25,2273,2,0.873973216,1,60,
2010,36,14,1,2,1,1,2,,112406,2274,1,0.587952712,1,30,
2010,75,15,1,1,1,6,1,,96348,2274,1,0.880364597,1,70,
2010,48,15,1,2,1,2,1,3,54195.75,2274,1,1.19227055,1,40,0
2010,35,11,0,2,1,6,2,4,66239.25,2274,2,0.482892386,1,30,1
2010,54,14,1,1,1,1,2,,96348,2274,2,1.396273632,1,50,
2010,45,14,1,1,1,2,2,,80290,2274,2,0.771650786,1,40,
2010,58,16,3,2,1,5,2,,66239.25,2274,2,0.472577294,1,50,
2010,46,16,3,2,1,0,1,5,80290,2275,1,1.476677914,1,40,1
2010,36,15,2,2,2,1,2,,44159.5,2275,1,0.421987813,1,30,
2010,58,13,1,2,3,0,2,,22079.75,2275,1,1.438551079,1,50,
2010,40,16,3,2,1,5,1,3,36130.5,2275,1,0.766655343,1,40,0
2010,44,12,1,2,1,0,2,,36130.5,2275,1,1.015448507,1,40,
2010,59,19,3,1,1,3,1,3,66239.25,2275,1,0.600693082,1,50,0
2010,80,12,1,2,1,0,1,5,11039.875,2275,2,0.440779351,1,80,1
2010,72,12,1,2,1,3,2,4,11039.875,2275,2,0.440779351,1,70,1
2010,76,12,1,2,1,2,2,,22079.75,2275,2,0.926560173,1,70,
2010,65,13,1,2,1,6,2,3,54195.75,2275,2,1.114716954,1,60,0
2010,43,20,3,2,1,3,2,3,54195.75,2275,2,0.591693086,1,40,0
2010,73,12,1,2,1,1,2,5,66239.25,2276,1,0.46310393,1,70,1
2010,27,14,1,2,1,2,2,4,96348,2276,1,3.19562532,1,18,1
2010,73,16,3,1,1,4,2,4,,2276,2,1.236866733,1,70,1
2010,60,20,4,2,1,1,1,,152908.1861,2276,2,0.766148953,1,60,
2010,42,14,2,2,2,2,1,,36130.5,2277,1,1.320053584,1,40,
2010,51,18,4,1,1,2,2,1,80290,2277,1,0.418458042,1,50,0
2010,21,15,1,1,1,4,2,4,,2277,1,2.421205857,1,18,1
2010,30,7,0,2,1,0,2,5,6021.75,2277,2,0.692773269,1,30,1
2010,45,12,1,2,1,2,2,3,44159.5,2277,2,1.358800374,1,40,0
2010,35,12,1,2,3,3,1,,,2277,2,0.567309973,1,30,
2010,79,13,1,2,1,5,1,3,,2278,1,0.499033845,1,70,0
2010,67,20,4,1,1,5,2,,112406,2278,1,0.489648685,1,60,
2010,19,14,1,2,1,2,1,3,152908.1861,2278,1,1.667618115,1,18,0
2010,76,16,3,1,1,6,2,4,152908.1861,2278,1,0.770525981,1,70,1
2010,70,16,3,2,1,0,2,2,152908.1861,2278,2,0.403128805,1,70,0
2010,60,18,4,1,1,0,2,,152908.1861,2278,2,0.760832804,1,60,
2010,47,16,4,1,1,2,1,4,22079.75,2278,2,0.443859644,1,40,1
2010,57,17,3,2,1,2,2,4,44159.5,2278,2,0.366370176,1,50,1
2010,75,16,3,2,1,6,2,3,44159.5,2278,2,0.403128805,1,70,0
2010,43,16,3,1,1,6,2,,112406,2279,1,0.875820238,1,40,
2010,45,16,3,2,1,2,1,3,152908.1861,2279,1,1.509559363,1,40,0
2010,29,12,1,2,3,3,1,3,19068.875,2279,2,0.825059441,1,18,0
2010,38,10,0,1,1,1,2,5,11039.875,2279,2,0.792020157,1,30,1
2010,25,12,1,2,1,2,1,2,36130.5,2280,1,1.899931009,1,18,0
2010,37,16,3,2,3,2,1,3,152908.1861,2280,1,1.314398128,1,30,0
2010,63,16,3,2,1,0,1,,26094.25,2280,1,0.366370176,1,60,
2010,62,16,3,1,2,3,2,2,80290,2280,2,0.708700811,1,60,0
2010,28,15,3,1,2,3,1,,44159.5,2280,2,0.712132564,1,18,
2010,61,16,3,1,2,2,1,,152908.1861,2280,2,0.529200277,1,60,
